"diamondType","diamondShape","diamondCarat","diamondColor","diamondClarity","diamondPolish","diamondSymmetry","diamondFluorescence","diamondTable","diamondDepth","diamondX","diamondY","diamondZ","diamondCertification","diamondPrice"
"Natural","Heart","0.5","D","VS2","Excellent","Very Good","None",0.63,0.579,4.95,5.55,3.22,"GIA","1485.00"
"Natural","Heart","0.5","H","VS2","Excellent","Very Good","None",0.61,0.582,4.73,5.47,3.18,"GIA","1307.00"
"Natural","Heart","0.5","G","VS2","Excellent","Excellent","None",0.64,0.608,4.66,5.37,3.27,"GIA","1438.00"
"Natural","Heart","0.5","H","SI1","Excellent","Very Good","Faint",0.64,0.588,4.83,5.63,3.31,"GIA","1007.00"
"Natural","Heart","0.5","H","VS1","Excellent","Excellent","Faint",0.63,0.602,4.8,5.43,3.27,"GIA","1300.00"
"Natural","Heart","0.5","G","VS1","Excellent","Very Good","None",0.62,0.564,4.99,5.48,3.09,"GIA","1493.00"
"Natural","Heart","0.5","E","VS1","Excellent","Excellent","None",0.63,0.601,4.78,5.43,3.27,"GIA","1733.00"
"Natural","Heart","0.5","H","VS1","Excellent","Excellent","None",0.6,0.593,4.7,5.53,3.28,"GIA","1444.00"
"Natural","Heart","0.5","G","VS1","Excellent","Very Good","None",0.61,0.609,4.57,5.51,3.36,"GIA","1515.00"
"Natural","Pear","0.5","G","VS1","Excellent","Excellent","Medium",0.62,0.624,7.01,4.38,2.73,"GIA","1226.00"
"Natural","Pear","0.5","H","SI1","Excellent","Excellent","None",0.61,0.599,6.77,4.46,2.67,"GIA","908.00"
"Natural","Pear","0.5","J","VVS1","Excellent","Very Good","None",0.59,0.635,6.69,4.39,2.79,"GIA","1057.00"
"Natural","Pear","0.5","J","VVS2","Excellent","Very Good","Faint",0.63,0.627,6.67,4.37,2.74,"GIA","1023.00"
"Natural","Pear","0.5","E","VS1","Very Good","Excellent","None",0.61,0.63,6.88,4.52,2.85,"GIA","1510.00"
"Natural","Pear","0.5","G","VS2","Excellent","Very Good","None",0.62,0.578,7.23,4.46,2.58,"GIA","1245.00"
"Natural","Pear","0.5","E","VS1","Excellent","Excellent","Faint",0.6,0.624,6.92,4.39,2.74,"GIA","1461.00"
"Natural","Pear","0.5","E","VS1","Excellent","Very Good","Faint",0.63,0.563,7.15,4.49,2.53,"GIA","1362.00"
"Natural","Pear","0.5","F","VS1","Excellent","Excellent","None",0.61,0.599,6.8,4.47,2.68,"GIA","1532.00"
"Natural","Pear","0.5","F","VVS1","Excellent","Excellent","None",0.6,0.615,7.09,4.37,2.69,"GIA","1848.00"
"Natural","Pear","0.5","E","VS1","Very Good","Very Good","Faint",0.61,0.624,7,4.37,2.72,"GIA","1436.00"
"Natural","Round","0.5","D","FL/IF","Excellent","Excellent","Medium",0.61,0.606,5.14,5.17,3.13,"GIA","2414.00"
"Natural","Round","0.5","G","SI1","Excellent","Excellent","None",0.57,0.627,5.04,5.08,3.17,"GIA","1215.00"
"Natural","Emerald","0.5","F","VS1","Excellent","Very Good","None",0.68,0.717,5.05,3.72,2.66,"GIA","1229.00"
"Natural","Oval","0.5","E","VS2","Excellent","Very Good","None",0.58,0.645,6.05,4.41,2.85,"GIA","1313.00"
"Natural","Emerald","0.5","F","VVS1","Excellent","Excellent","Faint",0.7,0.621,5.47,4,2.48,"GIA","1323.00"
"Natural","Emerald","0.5","H","VS1","Excellent","Very Good","Medium",0.69,0.688,5.14,3.73,2.56,"GIA","986.00"
"Natural","Emerald","0.5","E","VVS2","Excellent","Very Good","None",0.7,0.616,5.86,3.73,2.3,"GIA","1778.00"
"Natural","Emerald","0.5","F","VVS1","Excellent","Excellent","None",0.68,0.584,5.58,3.99,2.33,"GIA","1617.00"
"Natural","Round","0.5","G","SI1","Excellent","Very Good","Medium",0.6,0.59,5.18,5.2,3.06,"GIA","930.00"
"Natural","Round","0.5","G","VS1","Excellent","Excellent","None",0.62,0.599,5.13,5.15,3.08,"GIA","1684.00"
"Natural","Round","0.5","G","FL/IF","Excellent","Excellent","None",0.56,0.628,5.02,5.05,3.16,"GIA","1888.00"
"Natural","Round","0.5","E","VS1","Excellent","Excellent","None",0.6,0.625,5.04,5.08,3.16,"GIA","2099.00"
"Natural","Round","0.5","E","SI1","Excellent","Excellent","None",0.62,0.599,5.11,5.14,3.07,"GIA","1257.00"
"Natural","Emerald","0.5","D","VS2","Excellent","Very Good","None",0.65,0.688,5.1,3.75,2.58,"GIA","1331.00"
"Natural","Emerald","0.5","D","VS2","Excellent","Very Good","None",0.72,0.634,5.36,3.95,2.5,"GIA","1423.00"
"Natural","Emerald","0.5","F","SI1","Excellent","Very Good","None",0.71,0.624,5.45,3.96,2.47,"GIA","1095.00"
"Natural","Round","0.5","G","VS2","Excellent","Excellent","None",0.57,0.629,5.02,5.06,3.17,"GIA","1553.00"
"Natural","Round","0.5","G","VS2","Excellent","Excellent","Faint",0.61,0.599,5.14,5.15,3.08,"GIA","1200.00"
"Natural","Round","0.5","F","VS1","Excellent","Excellent","None",0.58,0.623,5.06,5.08,3.16,"GIA","1949.00"
"Natural","Round","0.5","I","SI1","Excellent","Very Good","Faint",0.57,0.629,5.02,5.08,3.18,"GIA","1004.00"
"Natural","Round","0.5","G","VS2","Excellent","Excellent","None",0.59,0.611,5.08,5.09,3.11,"GIA","1531.00"
"Natural","Emerald","0.5","D","VVS2","Excellent","Very Good","Medium",0.67,0.693,5.19,3.78,2.62,"GIA","1235.00"
"Natural","Emerald","0.5","J","VS1","Very Good","Very Good","Medium",0.65,0.698,5.33,3.68,2.57,"GIA","784.00"
"Natural","Emerald","0.5","I","SI1","Excellent","Very Good","None",0.65,0.711,5.03,3.72,2.64,"GIA","891.00"
"Natural","Emerald","0.5","D","VS2","Excellent","Good","None",0.68,0.661,5.39,3.75,2.48,"GIA","1263.00"
"Natural","Emerald","0.5","G","VS2","Very Good","Very Good","None",0.65,0.687,5.39,3.7,2.55,"GIA","1202.00"
"Natural","Emerald","0.5","J","SI1","Excellent","Very Good","None",0.66,0.668,5.48,3.72,2.48,"GIA","806.00"
"Natural","Emerald","0.5","F","SI1","Excellent","Very Good","None",0.67,0.615,5.88,3.71,2.28,"GIA","1144.00"
"Natural","Emerald","0.5","D","VS1","Excellent","Very Good","None",0.64,0.663,5.62,3.73,2.47,"GIA","1532.00"
"Natural","Emerald","0.5","G","VS2","Very Good","Very Good","None",0.66,0.643,5.44,3.88,2.5,"GIA","1223.00"
"Natural","Emerald","0.5","F","VS2","Excellent","Very Good","Faint",0.63,0.682,5.44,3.74,2.55,"GIA","1181.00"
"Natural","Emerald","0.5","G","VS2","Excellent","Excellent","Medium",0.64,0.676,5.35,3.76,2.55,"GIA","1052.00"
"Natural","Princess","0.5","D","VS1","Excellent","Excellent","None",0.74,0.734,4.33,4.29,3.15,"GIA","1479.00"
"Natural","Marquise","0.5","G","VS2","Excellent","Excellent","None",0.57,0.61,8.85,4.02,2.46,"GIA","1545.00"
"Natural","Marquise","0.5","F","VS2","Very Good","Very Good","None",0.59,0.605,8.69,3.99,2.41,"GIA","1448.00"
"Natural","Oval","0.5","H","VS1","Very Good","Very Good","None",0.61,0.589,6.61,4.35,2.56,"GIA","1217.00"
"Natural","Oval","0.5","E","SI1","Excellent","Very Good","None",0.58,0.627,6.33,4.39,2.75,"GIA","1120.00"
